Restaurant ID,Restaurant Name,Country,City,Locality,Cuisines,Cost_for_two,Currency,Has Table booking,Has Online delivery,Price_range,Rating,Rating text,Votes
6317637,Le Petit Souffle,Phillipines,Makati City,"Century City Mall, Poblacion, Makati City","French, Japanese, Desserts",1100,Botswana Pula(P),Yes,No,3,4.8,Excellent,314
6304287,Izakaya Kikufuji,Phillipines,Makati City,"Little Tokyo, Legaspi Village, Makati City",Japanese,1200,Botswana Pula(P),Yes,No,3,4.5,Excellent,591
6300002,Heat - Edsa Shangri-La,Phillipines,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City","Seafood, Asian, Filipino, Indian",4000,Botswana Pula(P),Yes,No,4,4.4,Very Good,270
6318506,Ooma,Phillipines,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","Japanese, Sushi",1500,Botswana Pula(P),No,No,4,4.9,Excellent,365
6314302,Sambo Kojin,Phillipines,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","Japanese, Korean",1500,Botswana Pula(P),Yes,No,4,4.8,Excellent,229
18189371,Din Tai Fung,Phillipines,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",Chinese,1000,Botswana Pula(P),No,No,3,4.4,Very Good,336
6300781,Buffet 101,Phillipines,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City","Asian, European",2000,Botswana Pula(P),Yes,No,4,4.0,Very Good,520
6301290,Vikings,Phillipines,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City","Seafood, Filipino, Asian, European",2000,Botswana Pula(P),Yes,No,4,4.2,Very Good,677
6300010,Spiral - Sofitel Philippine Plaza Manila,Phillipines,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City","European, Asian, Indian",6000,Botswana Pula(P),Yes,No,4,4.9,Excellent,621
6314987,Locavore,Phillipines,Pasig City,Kapitolyo,Filipino,1100,Botswana Pula(P),Yes,No,3,4.8,Excellent,532
6309903,Silantro Fil-Mex,Phillipines,Pasig City,Kapitolyo,"Filipino, Mexican",800,Botswana Pula(P),No,No,3,4.9,Excellent,1070
6309455,Mad Mark's Creamery & Good Eats,Phillipines,Pasig City,Kapitolyo,"American, Ice Cream, Desserts",900,Botswana Pula(P),Yes,No,3,4.2,Very Good,488
6318433,Silantro Fil-Mex,Phillipines,Quezon City,"UP Town Center, Diliman, Quezon City","Filipino, Mexican",800,Botswana Pula(P),No,No,3,4.8,Excellent,294
6310470,Guevarra's,Phillipines,San Juan City,Addition Hills,Filipino,1000,Botswana Pula(P),Yes,No,3,4.2,Very Good,458
6314605,Sodam Korean Restaurant,Phillipines,San Juan City,Little Baguio,Korean,700,Botswana Pula(P),No,No,3,4.3,Very Good,223
18185059,Cafe Arabelle,Phillipines,Santa Rosa,"Nuvali, Don Jose, Santa Rosa","Cafe, American, Italian, Filipino",800,Botswana Pula(P),No,No,3,3.6,Good,29
18182702,Nonna's Pasta & Pizzeria,Phillipines,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa","Italian, Pizza",850,Botswana Pula(P),No,No,3,4.0,Very Good,72
6318213,Balay Dako,Phillipines,Tagaytay City,Tagaytay City,Filipino,1200,Botswana Pula(P),Yes,No,3,4.5,Excellent,211
18255654,Hobing Korean Dessert Cafe,Phillipines,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City","Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,2,4.5,Excellent,118
6308205,Wildflour Cafe + Bakery,Phillipines,Taguig City,Bonifacio Global City,"Cafe, Bakery, American, Italian",1500,Botswana Pula(P),Yes,No,4,4.4,Very Good,392
6315438,NIU by Vikings,Phillipines,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City","Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),Yes,No,4,4.7,Excellent,535
6310406,The Food Hall by Todd English,Phillipines,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City","American, Asian, Italian, Seafood",1800,Botswana Pula(P),Yes,No,4,4.5,Excellent,618
6600681,Chez Michou,Brazil,Brasí_lia,Asa Norte,"Fast Food, French",55,Brazilian Real(R$),No,No,2,3.0,Average,6
6601005,Cafí© Daniel Briand,Brazil,Brasí_lia,Asa Norte,Cafe,30,Brazilian Real(R$),No,No,1,3.8,Good,9
6600292,Casa do Biscoito Mineiro,Brazil,Brasí_lia,Asa Norte,Bakery,45,Brazilian Real(R$),No,No,2,3.7,Good,11
6600441,Maori,Brazil,Brasí_lia,Asa Norte,Brazilian,60,Brazilian Real(R$),No,No,3,3.8,Good,11
6600970,Pizza íæ Bessa,Brazil,Brasí_lia,Asa Sul,Pizza,50,Brazilian Real(R$),No,No,2,3.2,Average,11
6600379,Sushi Loko,Brazil,Brasí_lia,Asa Sul,Japanese,80,Brazilian Real(R$),No,No,3,3.1,Average,10
6600214,Beirute,Brazil,Brasí_lia,Asa Sul,Arabian,90,Brazilian Real(R$),No,No,3,3.7,Good,8
6601218,New Koto,Brazil,Brasí_lia,Asa Sul,Japanese,200,Brazilian Real(R$),No,No,4,3.7,Good,5
6600060,Sandubas Cafí©,Brazil,Brasí_lia,Asa Sul,"Brazilian, Cafe",30,Brazilian Real(R$),No,No,1,0.0,Not rated,2
6600083,Villa Tevere,Brazil,Brasí_lia,Asa Sul,Italian,150,Brazilian Real(R$),No,No,4,4.1,Very Good,12
6601515,Rovereto,Brazil,Brasí_lia,íguas Claras,Pizza,100,Brazilian Real(R$),No,No,4,3.1,Average,9
6601361,Buena Carne,Brazil,Brasí_lia,íguas Claras,"Bar Food, Brazilian",60,Brazilian Real(R$),No,No,3,3.6,Good,9
6601602,Taco Pep,Brazil,Brasí_lia,íguas Claras,"Mexican, Grill",100,Brazilian Real(R$),No,No,4,4.3,Very Good,29
6601589,Coco Bambu,Brazil,Brasí_lia,"Brasí_lia Shopping, Asa Norte",International,230,Brazilian Real(R$),No,No,4,4.2,Very Good,17
6601862,Taypíç,Brazil,Brasí_lia,Lago Sul,"Peruvian, Latin American",100,Brazilian Real(R$),No,No,4,3.6,Good,5
6601595,Outback Steakhouse,Brazil,Brasí_lia,"ParkShopping, Guaríç I","American, Grill",150,Brazilian Real(R$),No,No,4,4.0,Very Good,10
6601158,Manzuíç,Brazil,Brasí_lia,"Pontí£o Lago Sul, Lago Sul",Seafood,240,Brazilian Real(R$),No,No,4,3.2,Average,6
6600427,Coco Bambu,Brazil,Brasí_lia,Setor De Clubes Esportivos Sul,International,230,Brazilian Real(R$),No,No,4,4.9,Excellent,30
6600116,Gero,Brazil,Brasí_lia,"Shopping Iguatemi, Lago Norte",Italian,350,Brazilian Real(R$),No,No,4,3.3,Average,8
6601457,Brazilian American Burgers,Brazil,Brasí_lia,Sudoeste,"American, Burger",50,Brazilian Real(R$),No,No,2,3.6,Good,9
7303219,Pesqueiro Eco Gourmet,Brazil,Rio de Janeiro,Barra da Tijuca,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),No,No,4,4.0,Very Good,7
7304307,Confeitaria Colombo,Brazil,Rio de Janeiro,Centro,"Desserts, Cafe",100,Brazilian Real(R$),No,No,4,4.8,Excellent,29
7301215,Bibi,Brazil,Rio de Janeiro,Copacabana,"Juices, Healthy Food",60,Brazilian Real(R$),No,No,3,4.7,Excellent,24
7300596,Cervantes,Brazil,Rio de Janeiro,Copacabana,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,3,4.5,Excellent,29
7300612,Amir,Brazil,Rio de Janeiro,Copacabana,Lebanese,170,Brazilian Real(R$),No,No,4,4.2,Very Good,11
7300704,TT Burger,Brazil,Rio de Janeiro,"Galeria River, Copacabana",Burger,60,Brazilian Real(R$),No,No,3,4.8,Excellent,19
7300955,Braseiro da Gíçvea,Brazil,Rio de Janeiro,Gíçvea,"Brazilian, Bar Food",100,Brazilian Real(R$),No,No,4,4.9,Excellent,40
7300521,Balada Mix,Brazil,Rio de Janeiro,Ipanema,"Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),No,No,3,4.6,Excellent,21
7300515,Garota de Ipanema,Brazil,Rio de Janeiro,Ipanema,"Brazilian, Bar Food",120,Brazilian Real(R$),No,No,4,4.9,Excellent,49
7300483,Zazíç BistríÇ Tropical,Brazil,Rio de Janeiro,Ipanema,Brazilian,170,Brazilian Real(R$),No,No,4,4.6,Excellent,21
7301064,Filí© de Ouro,Brazil,Rio de Janeiro,Lagoa,Brazilian,90,Brazilian Real(R$),No,No,3,4.3,Very Good,14
